,id_depto,grupo_etario,habitantes
561,50035,12-18,5068.0
562,50035,19-65,27603.0
563,50049,0-5,19700.0
564,50056,12-18,5944.0
565,50056,19-65,27329.0
566,50077,0-5,2811.0
567,50119,12-18,7298.0
568,50119,19-65,34789.0
569,54014,>65,4332.0
570,54063,6-11,12219.0
571,54077,6-11,5931.0
572,54084,0-5,3674.0
573,54091,>65,9615.0
574,58007,12-18,1197.0
575,58007,19-65,6310.0
576,58035,0-5,34739.0
577,58049,>65,1586.0
578,58056,6-11,3767.0
579,58063,>65,636.0
580,58070,6-11,1557.0
581,58077,0-5,737.0
582,58098,0-5,391.0
583,58112,12-18,5301.0
584,58112,19-65,27889.0
585,62007,12-18,7034.0
586,62007,19-65,39266.0
587,62028,12-18,747.0
588,62028,19-65,4533.0
589,62035,0-5,545.0
590,62049,12-18,375.0
591,62049,19-65,2253.0
592,62056,12-18,143.0
593,62056,19-65,866.0
594,62063,0-5,1344.0
595,62070,6-11,943.0
596,62077,6-11,3609.0
597,66014,>65,816.0
598,66028,>65,60054.0
599,66035,0-5,5342.0
600,66049,6-11,5990.0
601,66056,12-18,24083.0
602,66056,19-65,100268.0
603,66063,12-18,392.0
604,66063,19-65,2082.0
605,66084,0-5,596.0
606,66126,>65,10166.0
607,66161,>65,843.0
608,70014,0-5,969.0
609,70021,0-5,1104.0
610,70028,0-5,7849.0
611,70056,6-11,2384.0
612,70063,6-11,1488.0
613,70070,>65,4987.0
614,70077,12-18,16316.0
615,70077,19-65,80305.0
616,70084,12-18,11273.0
617,70084,19-65,60622.0
618,70119,0-5,772.0
619,74007,12-18,2914.0
620,74007,19-65,13682.0
621,74014,0-5,444.0
622,74021,6-11,1490.0
623,74035,12-18,17891.0
624,74035,19-65,90585.0
625,74042,6-11,1464.0
626,74063,>65,737.0
627,78007,0-5,1456.0
628,78014,12-18,15834.0
629,78014,19-65,78220.0
630,78021,6-11,14016.0
631,78042,0-5,1110.0
632,82007,12-18,4950.0
633,82007,19-65,29382.0
634,82021,0-5,15092.0
635,82035,6-11,2543.0
636,82063,6-11,51558.0
637,82084,6-11,117871.0
638,82091,0-5,5906.0
639,82112,12-18,4999.0
640,82112,19-65,27679.0
641,82119,6-11,19715.0
642,82126,0-5,5177.0
643,82133,>65,5496.0
644,86014,6-11,2442.0
645,86021,0-5,1520.0
646,86028,6-11,3000.0
647,86035,12-18,20112.0
648,86035,19-65,101737.0
649,86042,0-5,1033.0
650,86049,>65,29394.0
651,86063,0-5,3746.0
652,86070,12-18,2901.0
653,86070,19-65,11109.0
654,86077,6-11,5109.0
655,86084,>65,990.0
656,86098,12-18,3014.0
657,86098,19-65,11379.0
658,86105,0-5,2243.0
659,86112,0-5,112.0
660,86119,12-18,6032.0
661,86119,19-65,22699.0
662,86126,12-18,1865.0
663,86126,19-65,8794.0
664,86140,0-5,1286.0
665,86147,6-11,7369.0
666,86168,>65,1064.0
667,86189,6-11,1008.0
668,90021,6-11,9110.0
669,90028,6-11,4753.0
670,90035,0-5,1434.0
671,90049,>65,1772.0
672,90056,0-5,5678.0
673,90070,0-5,6523.0
674,90077,12-18,7630.0
675,90077,19-65,38741.0
676,90084,0-5,44089.0
677,90091,0-5,3132.0
678,94008,6-11,10167.0
679,94015,>65,4599.0
680,06014,12-18,1387.0
681,06014,19-65,7481.0
682,06021,>65,2166.0
683,06070,12-18,4484.0
684,06070,19-65,23224.0
685,06077,0-5,2644.0
686,06091,12-18,41619.0
687,06091,19-65,218944.0
688,06098,0-5,7704.0
689,06112,>65,7067.0
690,06126,0-5,8120.0
691,06134,12-18,8920.0
692,06134,19-65,41390.0
693,06140,>65,1912.0
694,06168,>65,1186.0
695,06182,>65,8312.0
696,06189,12-18,1659.0
697,06189,19-65,8946.0
698,06196,6-11,2404.0
699,06210,>65,7679.0
700,06231,>65,2502.0
701,06252,12-18,30240.0
702,06252,19-65,155627.0
703,06260,6-11,35257.0
704,06274,>65,35553.0
705,06287,12-18,1081.0
706,06287,19-65,6040.0
707,06301,6-11,1957.0
708,06336,6-11,549.0
709,06357,0-5,41427.0
710,06371,6-11,38161.0
711,06392,12-18,4022.0
712,06392,19-65,20289.0
713,06413,>65,14676.0
714,06420,6-11,9744.0
715,06427,6-11,193043.0
716,06448,0-5,901.0
717,06462,12-18,1953.0
718,06462,19-65,9742.0
719,06469,12-18,4746.0
720,06469,19-65,26267.0
721,06490,>65,78110.0
722,06497,>65,12158.0
723,06511,>65,1626.0
724,06560,12-18,71388.0
725,06560,19-65,345479.0
726,06574,6-11,1995.0
727,06581,6-11,9031.0
728,06602,>65,4444.0
729,06630,12-18,522.0
730,06630,19-65,2709.0
731,06638,0-5,34493.0
732,06648,0-5,10170.0
733,06665,12-18,4764.0
