,Provincia,Departamento,Cant_EE,Cant_CC,Poblacion
414,Santiago del Estero,SARMIENTO,26.0,,5034.0
415,Chaco,1§ DE MAYO,25.0,1.0,14265.0
416,Buenos Aires,FLORENTINO AMEGHINO,25.0,,10759.0
417,Jujuy,SANTA CATALINA,25.0,,2641.0
418,Neuquén,MINAS,25.0,,9267.0
419,San Luis,GOBERNADOR DUPUY,25.0,,14334.0
420,Chaco,2 DE ABRIL,24.0,,8310.0
421,Chubut,GAIMAN,23.0,,12505.0
422,Corrientes,ITATI,23.0,,11946.0
423,Salta,CACHI,23.0,,8928.0
424,Santa Cruz,LAGO ARGENTINO,22.0,2.0,25384.0
425,Chaco,GENERAL BELGRANO,22.0,,12807.0
426,Chubut,RIO SENGUER,22.0,,6347.0
427,Corrientes,GENERAL ALVEAR,22.0,,9051.0
428,La Pampa,ATREUCO,22.0,,11053.0
429,Neuquén,ALUMINE,22.0,,10173.0
430,Río Negro,PICHI MAHUIDA,22.0,,16493.0
431,Santiago del Estero,AGUIRRE,22.0,,8959.0
432,Santiago del Estero,RIVADAVIA,22.0,,5314.0
433,Mendoza,LA PAZ,21.0,1.0,12018.0
434,Neuquén,LOS LAGOS,21.0,1.0,15502.0
435,Buenos Aires,GENERAL GUIDO,21.0,,3157.0
436,Buenos Aires,SAN CAYETANO,21.0,,8918.0
437,Córdoba,SOBREMONTE,21.0,,4381.0
438,Jujuy,TUMBAYA,21.0,,5298.0
439,Río Negro,PILCANIYEU,21.0,,9309.0
440,Salta,MOLINOS,21.0,,5808.0
441,Buenos Aires,GENERAL LAVALLE,20.0,,4846.0
442,Buenos Aires,HIPOLITO YRIGOYEN,20.0,,10581.0
443,Buenos Aires,LEZAMA,20.0,,6170.0
444,Chaco,TAPENAGA,20.0,,4051.0
445,La Pampa,PUELEN,20.0,,11636.0
446,Neuquén,AÑELO,20.0,,18150.0
447,Santiago del Estero,BELGRANO,20.0,,10809.0
448,Salta,CAFAYATE,19.0,2.0,17822.0
449,Buenos Aires,TRES LOMAS,19.0,,9090.0
450,Chubut,SARMIENTO,19.0,,14477.0
451,Jujuy,RINCONADA,19.0,,1797.0
452,Jujuy,SUSQUES,19.0,,3966.0
453,La Pampa,LOVENTUE,19.0,,9243.0
454,La Pampa,QUEMU QUEMU,18.0,,8404.0
455,Neuquén,PICUNCHES,18.0,,8471.0
456,Neuquén,ÑORQUIN,18.0,,5572.0
457,Río Negro,EL CUY,18.0,,6960.0
458,La Pampa,GUATRACHE,17.0,,9397.0
459,La Rioja,SAN BLAS DE LOS SAUCES,17.0,,4306.0
460,Río Negro,9 DE JULIO,17.0,,3682.0
461,La Pampa,TOAY,16.0,1.0,17927.0
462,Buenos Aires,PELLEGRINI,16.0,,7112.0
463,Salta,LA CALDERA,16.0,,12246.0
464,Río Negro,CONESA,15.0,1.0,7398.0
465,Buenos Aires,SALLIQUELO,15.0,,9344.0
466,La Rioja,CASTRO BARROS,15.0,,5810.0
467,Neuquén,LONCOPUE,15.0,,7696.0
468,Santa Cruz,CORPEN AIKE,15.0,,15035.0
469,Jujuy,VALLE GRANDE,14.0,,2490.0
470,La Pampa,CATRILO,14.0,,8225.0
471,La Rioja,INDEPENDENCIA,14.0,,2399.0
472,Río Negro,VALCHETA,14.0,,4300.0
473,Salta,LOS ANDES,14.0,,7182.0
474,Santiago del Estero,MITRE,14.0,,1440.0
475,Chubut,TEHUELCHES,13.0,,5947.0
476,La Pampa,HUCAL,13.0,,7713.0
477,Neuquén,CATAN LIL,13.0,,2641.0
478,Salta,GUACHIPAS,13.0,,3491.0
479,Salta,LA VIÑA,13.0,,8888.0
