,id,id_depto,jardin,primaria,secundaria
751,020087000,02000,0,1,0
752,020087100,02000,0,1,0
753,020087200,02000,1,0,0
754,020087201,02000,1,0,0
755,020087202,02000,1,0,0
756,020087300,02000,1,1,1
757,020087400,02000,0,0,1
758,020087500,02000,1,1,1
759,020087600,02000,0,1,0
760,020087700,02000,0,0,1
761,020087800,02000,0,0,1
762,020087900,02000,1,0,0
763,020087902,02000,1,0,0
764,020087903,02000,1,0,0
765,020088000,02000,0,0,1
766,020088100,02000,0,0,1
767,020088200,02000,0,0,1
768,020088300,02000,0,1,0
769,020088400,02000,0,0,1
770,020088500,02000,1,1,1
771,020088600,02000,1,1,1
772,020088700,02000,0,0,1
773,020088800,02000,0,0,1
774,020088900,02000,1,0,0
775,020089000,02000,0,1,0
776,020089100,02000,1,0,1
777,020089200,02000,0,0,1
778,020089300,02000,0,0,1
779,020089400,02000,0,0,1
780,020089500,02000,0,1,1
781,020089501,02000,1,0,0
782,020089502,02000,0,1,0
783,020089600,02000,0,0,1
784,020089700,02000,1,1,1
785,020089800,02000,0,0,1
786,020089900,02000,1,1,1
787,020090100,02000,1,0,0
788,020090200,02000,0,0,1
789,020090300,02000,0,1,0
790,020090400,02000,1,1,1
792,020090600,02000,0,0,1
793,020090700,02000,0,0,1
794,020090900,02000,1,0,0
795,020091000,02000,1,1,1
796,020091100,02000,0,1,0
797,020091200,02000,1,1,1
798,020091400,02000,1,0,1
799,020091600,02000,1,0,1
800,020091800,02000,1,1,1
801,020092000,02000,0,1,0
802,020092100,02000,1,0,1
803,020092200,02000,1,1,1
804,020092500,02000,1,1,1
805,020092600,02000,1,1,1
806,020092700,02000,0,0,1
807,020092800,02000,0,0,1
808,020092900,02000,0,0,1
809,020093000,02000,0,1,0
810,020093001,02000,0,1,0
811,020093100,02000,1,0,0
812,020093101,02000,1,0,0
813,020093102,02000,1,0,0
814,020093103,02000,1,0,0
815,020093104,02000,1,0,0
816,020093105,02000,1,0,0
817,020093200,02000,0,0,1
818,020093300,02000,0,0,1
819,020093400,02000,0,0,1
820,020093500,02000,0,0,1
821,020093600,02000,0,0,1
823,020093800,02000,0,0,1
824,020093900,02000,0,1,0
825,020094000,02000,1,0,1
826,020094100,02000,0,0,1
827,020094200,02000,0,1,0
828,020094300,02000,1,1,1
829,020094400,02000,0,1,0
830,020094500,02000,1,1,1
831,020094700,02000,0,0,1
832,020094800,02000,1,0,1
833,020094900,02000,1,1,1
834,020095000,02000,0,1,0
835,020095100,02000,1,1,1
837,020095300,02000,1,0,0
838,020095400,02000,1,0,0
839,020095401,02000,1,0,0
840,020095402,02000,1,0,0
841,020095500,02000,1,1,1
842,020095600,02000,1,1,1
843,020095700,02000,0,1,0
844,020095800,02000,0,1,0
845,020095900,02000,1,1,1
846,020096000,02000,1,1,1
847,020096100,02000,0,0,1
848,020096200,02000,1,0,1
853,020096600,02000,1,1,1
854,020096700,02000,1,1,1
855,020096800,02000,1,1,1
856,020096900,02000,0,1,0
857,020097000,02000,0,0,1
858,020097100,02000,0,0,1
859,020097200,02000,0,0,1
860,020097300,02000,0,1,0
861,020097400,02000,1,1,1
862,020097500,02000,1,0,0
863,020097501,02000,1,0,0
864,020097502,02000,1,0,0
865,020097503,02000,1,0,0
866,020097600,02000,1,1,1
867,020097700,02000,1,1,1
868,020097800,02000,1,1,1
869,020097900,02000,0,0,1
870,020098200,02000,0,0,1
871,020098300,02000,1,1,1
872,020098400,02000,0,0,1
873,020098500,02000,0,1,0
874,020098600,02000,0,1,0
875,020098700,02000,0,0,1
876,020098800,02000,1,0,0
877,020098900,02000,1,0,1
878,020099000,02000,1,1,1
879,020099100,02000,0,0,1
880,020099200,02000,1,0,0
882,020099400,02000,0,0,1
883,020099600,02000,0,0,1
884,020099700,02000,1,1,1
885,020099800,02000,1,1,1
886,020099900,02000,1,1,1
887,020100000,02000,0,0,1
888,020100100,02000,1,0,0
889,020100400,02000,1,1,1
890,020100500,02000,0,0,1
892,020100700,02000,0,0,1
893,020100800,02000,0,0,1
894,020100900,02000,0,0,1
895,020101000,02000,0,1,0
896,020101100,02000,0,1,0
898,020101300,02000,0,0,1
899,020101400,02000,0,0,1
901,020101700,02000,0,1,0
902,020101900,02000,0,1,0
903,020102100,02000,0,1,0
904,020102400,02000,1,0,0
905,020102500,02000,0,0,1
906,020102600,02000,0,0,1
907,020102700,02000,0,0,1
908,020102900,02000,1,0,0
909,020103000,02000,0,0,1
912,020103600,02000,0,0,1
913,020103800,02000,0,1,0
915,020104000,02000,1,1,1
916,020104100,02000,0,1,0
917,020104400,02000,1,0,0
918,020104600,02000,0,0,1
919,020104700,02000,0,0,1
920,020104900,02000,1,1,1
921,020105000,02000,1,0,0
922,020105001,02000,1,0,0
923,020105002,02000,1,0,0
924,020105003,02000,1,0,0
925,020105100,02000,0,1,0
926,020105200,02000,1,1,1
927,020105300,02000,1,0,1
928,020105400,02000,1,1,1
930,020105700,02000,1,0,0
931,020105800,02000,1,0,0
932,020105801,02000,1,0,0
933,020105802,02000,1,0,0
934,020105803,02000,1,0,0
935,020105900,02000,0,0,1
938,020106200,02000,0,1,0
943,020106800,02000,1,0,1
944,020106900,02000,0,1,0
945,020107000,02000,0,0,1
949,020107400,02000,0,1,0
954,020107900,02000,0,1,0
955,020108000,02000,0,0,1
956,020108100,02000,0,0,1
957,020108200,02000,0,0,1
959,020108500,02000,0,1,0
960,020108600,02000,0,0,1
961,020108700,02000,0,0,1
962,020108800,02000,1,1,1
963,020109000,02000,1,0,0
964,020109100,02000,1,1,1
965,020109200,02000,0,0,1
966,020109300,02000,0,0,1
967,020109400,02000,0,0,1
968,020109500,02000,0,0,1
969,020109600,02000,0,1,0
973,020110200,02000,0,0,1
974,020110300,02000,0,0,1
975,020110400,02000,0,1,0
977,020110600,02000,0,1,0
981,020111100,02000,1,1,1
985,020111600,02000,0,1,0
989,020112100,02000,0,1,0
990,020112200,02000,0,0,1
992,020112400,02000,0,0,1
993,020112500,02000,0,0,1
994,020112600,02000,1,0,0
995,020112800,02000,0,1,0
998,020113200,02000,1,0,0
999,020113300,02000,0,0,1
1000,020113400,02000,1,1,1
1001,020113600,02000,0,1,0
1002,020113700,02000,0,1,0
1003,020113800,02000,0,1,0
1004,020113900,02000,0,1,0
1005,020114000,02000,1,1,1
1010,020114600,02000,0,1,1
1011,020114700,02000,1,1,1
1012,020114800,02000,0,0,1
1013,020114900,02000,1,1,1
1014,020115100,02000,0,1,0
1015,020115200,02000,0,0,1
1016,020115300,02000,0,1,0
1018,020115500,02000,1,0,0
1019,020115800,02000,0,0,1
1020,020116000,02000,0,0,1
1021,020116100,02000,0,0,1
1022,020116200,02000,0,1,0
1024,020116500,02000,1,0,0
1025,020116600,02000,0,0,1
1026,020116700,02000,0,0,1
1027,020116800,02000,0,0,1
1028,020116900,02000,0,1,0
1029,020117000,02000,0,1,0
1030,020117100,02000,1,1,1
1031,020117200,02000,0,0,1
1032,020117300,02000,0,1,0
1033,020117301,02000,0,1,0
1034,020117302,02000,0,1,0
1035,020117303,02000,0,1,0
1036,020117304,02000,0,1,0
1037,020117305,02000,0,1,0
1038,020117400,02000,0,1,0
1039,020117500,02000,0,1,0
1040,020117600,02000,1,1,1
1041,020117700,02000,1,1,1
1042,020117800,02000,0,0,1
1043,020118100,02000,1,0,0
1044,020118200,02000,0,1,0
1045,020118500,02000,0,0,1
1046,020118600,02000,1,1,1
1047,020118700,02000,1,1,1
1048,020118800,02000,1,1,1
1049,020118900,02000,0,0,1
1050,020119000,02000,1,1,1
1051,020119100,02000,1,1,1
1052,020119200,02000,0,0,1
1053,020119300,02000,1,0,0
1054,020119400,02000,1,0,0
1055,020119500,02000,1,1,1
1056,020119600,02000,1,1,1
1057,020119700,02000,0,0,1
1058,020119800,02000,0,1,0
1059,020119900,02000,1,0,0
1060,020120100,02000,1,0,0
1061,020120101,02000,1,0,0
1062,020120102,02000,1,0,0
1063,020120103,02000,1,0,0
1064,020120200,02000,0,0,1
1065,020120400,02000,1,1,1
1066,020120600,02000,1,1,1
1067,020120800,02000,0,0,1
1068,020120900,02000,1,1,1
1069,020121100,02000,1,0,0
1070,020121101,02000,1,0,0
1071,020121102,02000,1,0,0
1072,020121200,02000,0,0,1
1073,020121300,02000,0,0,1
1074,020121400,02000,0,1,1
