OBJECTID;Entidad;Objeto;FNA;GNA;NAM;SAG;FDC;IN1;SHAPE_STAr;SHAPE_STLe
4903;0;Departamento;Departamento 9 de Julio;Departamento;9 de Julio;Direc. de Catastro;;70063;0,01459976003;0,84200349827
4904;0;Departamento;Departamento Albardón;Departamento;Albardón;Direc. de Catastro;;70007;0,09599302657;1,57999901283
4905;0;Departamento;Departamento Angaco;Departamento;Angaco;Direc. de Catastro;;70014;0,24183087003;2,27235484751
4906;0;Departamento;Departamento San Martín;Departamento;San Martín;Direc. de Catastro;;70091;0,05233493730;1,20359800442
4907;0;Departamento;Departamento Caucete;Departamento;Caucete;Direc. de Catastro;;70035;0,71838009179;5,23356901398
4908;0;Departamento;Departamento 25 de Mayo;Departamento;25 de Mayo;Direc. de Catastro;;70126;0,40206967475;4,28298609906
4909;0;Departamento;Departamento Sarmiento;Departamento;Sarmiento;Direc. de Catastro;;70105;0,26970826971;2,62438483063
4910;0;Departamento;Departamento Calingasta;Departamento;Calingasta;Direc. de Catastro;;70021;2,15386807545;8,61122169745
4911;0;Departamento;Departamento Iglesia;Departamento;Iglesia;Direc. de Catastro;;70049;1,78389012239;7,86834162490
4912;0;Departamento;Departamento Jachal;Departamento;Jachal;Direc. de Catastro;;70056;1,34541574214;5,94439628989
4913;0;Departamento;Departamento Valle Fértil;Departamento;Valle Fértil;Direc. de Catastro;;70119;0,49659710485;5,44129160083
4914;0;Departamento;Partido de La Plata;Partido;La Plata;ARBA - Gerencia de Servicios Catastrales;ARBA - Gerencia de Servicios Catastrales;60441;0,08815816844;1,72937551935
4915;0;Departamento;Departamento Mercedes;Departamento;Mercedes;IGN;-2;18105;0,00000254404;0,00868949658
4916;0;Departamento;Departamento Santa Bárbara;Departamento;Santa Bárbara;Direc. Grl. de Inmuebles;;38070;0,38970702526;3,46331848774
4531;0;Departamento;Departamento Orán;Departamento;Orán;IDE Salta;;66126;1,02916505931;7,86420035099
